date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:59	181/181	---M-Z	200	added ('OK')	text/plain	date:Wed,%2024%20Feb%202021%2023:29:56%20GMT	https://www.theclickcommunity.com/robots.txt		(from )
12:57:59	208359/208359	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2013:34:19%20GMT	https://www.theclickcommunity.com/blog/	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/index.html	(from )
12:58:00	11080/11080	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Jul%202021%2004:32:43%20GMT	https://www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.eot?ver=4.3.0	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fontb2f9.eot	(from https://www.theclickcommunity.com/blog/)
12:58:00	7556/7556	---M--	200	added ('OK')	x-font/woff	date:Wed,%2021%20Jul%202021%2004:32:43%20GMT	https://www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.woff?ver=4.3.0	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fontb2f9.woff	(from https://www.theclickcommunity.com/blog/)
12:58:01	10908/10908	---M-Z	200	added ('OK')	application/x-font-ttf	date:Wed,%2021%20Jul%202021%2004:32:43%20GMT	https://www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.ttf?ver=4.3.0	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fontb2f9.ttf	(from https://www.theclickcommunity.com/blog/)
12:58:01	23201/23201	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Jul%202021%2004:32:43%20GMT	https://www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-font.svg?ver=4.3.0	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/wp-content/plugins/social-warfare/assets/fonts/sw-icon-fontb2f9.svg	(from https://www.theclickcommunity.com/blog/)
12:58:01	271/271	---M--	302	error ('Found')	text/html	date:Sat,%2021%20May%202022%2005:58:01%20GMT	http://www.theclickcommunity.com/blog/wp-content/cache/wpfc-minified/r5fbprl/dxdgk.css	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/wp-content/cache/wpfc-minified/r5fbprl/dxdgk.4.delayed	(from https://www.theclickcommunity.com/blog/)
12:58:02	8895/8895	---MCZ	200	added ('OK')	text/xml	date:Sat,%2021%20May%202022%2005:58:02%20GMT	https://www.theclickcommunity.com/blog/comments/feed/	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/comments/feed/index.html	(from https://www.theclickcommunity.com/blog/)
12:58:03	44751/44751	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202022%2022:00:50%20GMT	https://www.theclickcommunity.com/blog/wp-content/cache/wpfc-minified/r5fbprl/dxdgk.css	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/wp-content/cache/wpfc-minified/r5fbprl/dxdgk.css	(from https://www.theclickcommunity.com/blog/)
12:58:03	272/272	---M--	302	error ('Found')	text/html	date:Sat,%2021%20May%202022%2005:58:03%20GMT	http://www.theclickcommunity.com/blog/wp-content/cache/wpfc-minified/2em8pyu0/84qlm.css	C:/website%20httrack/https___www.theclickcommunity.com_blog_/www.theclickcommunity.com/blog/wp-content/cache/wpfc-minified/2em8pyu0/84qlm.css	(from https://www.theclickcommunity.com/blog/)
